ImageNumber,ObjectNumber,Metadata_C,Metadata_ChannelName,Metadata_ColorFormat,Metadata_Concentration,Metadata_Concentration,Metadata_Experiment_Number,Metadata_FileLocation,Metadata_Frame,Metadata_LPS,Metadata_Plate,Metadata_Series,Metadata_Site,Metadata_SizeC,Metadata_SizeT,Metadata_SizeX,Metadata_SizeY,Metadata_SizeZ,Metadata_T,Metadata_Well,Metadata_Z,Intensity_IntegratedIntensity_GFP,Intensity_IntegratedIntensity_GFP_aftermath,Intensity_MeanIntensity_GFP,Intensity_MeanIntensity_GFP_aftermath,Intensity_MedianIntensity_GFP,Intensity_MedianIntensity_GFP_aftermath
1,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,123.52941454108804,61.26297479867935,0.15816826445721902,0.07844170908921812,0.08627451211214066,0.0
1,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,6.352941380813718,0.0,0.014740003203744126,0.0,0.007843137718737125,0.0
1,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,6.52941195294261,0.0,0.016042781211161202,0.0,0.007843137718737125,0.0
1,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,8.235294350422919,0.0,0.017521902873240253,0.0,0.007843137718737125,0.0
1,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,112.66666909959167,51.01730037108064,0.1148487962279222,0.052005403028624504,0.05882352963089943,0.0
1,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,26.85098116286099,1.0715109268203378,0.03200355323344576,0.001277128637449747,0.019607843831181526,0.0
1,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,7.372549238614738,0.0,0.01679396181916797,0.0,0.007843137718737125,0.0
1,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,4.047058956697583,0.0,0.012301091053792046,0.0,0.007843137718737125,0.0
1,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,10.533333637751639,0.0,0.018160920065089032,0.0,0.019607843831181526,0.0
1,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,207.05098489671946,110.63437058776617,0.16316074459946373,0.08718232512826334,0.0784313753247261,0.0
1,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,15.835294557735324,0.0,0.0250162631243844,0.0,0.019607843831181526,0.0
1,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,108.67843419779092,40.87427816260606,0.1588865997043727,0.059757716611997164,0.125490203499794,0.0
1,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,43.00392277818173,2.026528191752732,0.037427260903552424,0.0017637321077047274,0.027450980618596077,0.0
1,14,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,30.713726329617202,0.8881199043244123,0.038585083328664824,0.0011157285230206184,0.027450980618596077,0.0
2,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,252.17255340516567,184.90541932825,0.27988074739752017,0.20522244098584905,0.14509804546833038,0.0
2,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,375.48627813439816,323.9457885120064,0.5115616868316051,0.4413430361198997,0.38823530077934265,0.2802768051624298
2,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,188.4666709266603,94.26758869364858,0.1431030151303419,0.07157751609236794,0.0784313753247261,0.0
2,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,37.603922558017075,0.12918107211589813,0.04580258533254211,0.0001573460074493278,0.03921568766236305,0.0
2,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,64.43529575224966,6.266435625962913,0.0619570151463939,0.006025418871118186,0.0470588244497776,0.0
2,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,907.9686373649165,810.7600871855393,0.595389270403224,0.5316459588101897,0.5823529660701752,0.508650541305542
2,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,39.6000010734424,0.08189157210290432,0.03818707914507464,7.896969344542365e-05,0.027450980618596077,0.0
2,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,637.9254973586649,570.1880015414208,0.5809886132592577,0.5192969048646819,0.6000000238418579,0.529411792755127
2,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,141.57647420000285,41.56285997573286,0.09520946482851571,0.02795081370257758,0.05882352963089943,0.0
2,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,167.70588656235486,70.54209854733199,0.11678682908241982,0.04912402405803063,0.06666667014360428,0.0
2,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,696.0470686601475,569.4936533030123,0.41161860949742607,0.3367792154364354,0.30588236451148987,0.1833910048007965
2,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,25.11372614838183,0.3010380296036601,0.045911747986072816,0.0005503437469902379,0.03921568766236305,0.0
3,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,168.38039534911513,82.04498173110187,0.1373412686371249,0.066920866012318,0.0784313753247261,0.0
3,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,54.68627593014389,0.6516723660752177,0.05096577439901574,0.0006073367810579849,0.0470588244497776,0.0
3,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,95.95686521567404,28.19261766038835,0.10830345961137025,0.031820110226171955,0.0784313753247261,0.0
3,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,97.46274747047573,34.379469021223485,0.09203281158685149,0.03246408783873795,0.0470588244497776,0.0
3,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,49.25490320753306,4.261822234839201,0.055655257861619276,0.004815618344451074,0.03921568766236305,0.0
3,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,698.9843256305903,503.06227843556553,0.2481307510225738,0.17858085851457775,0.11764705926179886,0.0
3,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,88.20000233594328,16.08765813242644,0.06988906682721338,0.01274774812395122,0.0470588244497776,0.0
3,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,379.7019670167938,298.34371182415634,0.3390196134078516,0.26637831412871105,0.23529411852359772,0.10034601390361786
3,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,171.71765128243715,72.53517753165215,0.1363920979209191,0.05761332607756327,0.08627451211214066,0.0
3,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,116.66274785809219,37.93886879552156,0.10712832677510761,0.03483826335676911,0.06666667014360428,0.0
3,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,178.96078775636852,106.6366772102192,0.19840442101592962,0.11822248027740488,0.10980392247438431,0.0
3,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,39.87058934941888,0.2825835943222046,0.03506648139790579,0.0002485343837486408,0.027450980618596077,0.0
3,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,190.65882742684335,108.57554668933153,0.15756927886515978,0.08973185676804259,0.06666667014360428,0.0
3,14,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,74.0705902967602,20.347173781134188,0.08068691753459717,0.022164677321496937,0.0470588244497776,0.0
3,15,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,133.45882622431964,74.21683880779892,0.15701038379331722,0.0873139280091752,0.0784313753247261,0.0
3,16,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,55.996079937554896,4.797001075930893,0.05555166660471716,0.004758929638820331,0.03921568766236305,0.0
3,17,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,36.10196175426245,0.06113032903522253,0.03861172380135021,6.538003105371394e-05,0.027450980618596077,0.0
3,18,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,121.00392468180507,39.546711983159184,0.12397943102643963,0.04051917211389261,0.08627451211214066,0.0
4,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,46.20392281841487,0.6643597977235913,0.044426848863860446,0.0006388074978111455,0.03921568766236305,0.0
4,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,128.90588473901153,71.83275580126792,0.14057348390295696,0.07833452104827472,0.05882352963089943,0.0
