ImageNumber,ObjectNumber,Metadata_C,Metadata_ChannelName,Metadata_ColorFormat,Metadata_Concentration,Metadata_Concentration,Metadata_Experiment_Number,Metadata_FileLocation,Metadata_Frame,Metadata_LPS,Metadata_Plate,Metadata_Series,Metadata_Site,Metadata_SizeC,Metadata_SizeT,Metadata_SizeX,Metadata_SizeY,Metadata_SizeZ,Metadata_T,Metadata_Well,Metadata_Z,Intensity_IntegratedIntensity_GFP,Intensity_IntegratedIntensity_GFP_aftermath,Intensity_MeanIntensity_GFP,Intensity_MeanIntensity_GFP_aftermath
1,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,35.658824493177235,1.0403690533712506,0.05022369646926371,0.001465308525875001
1,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,5.525490403175354,0.0,0.009148162919164494,0.0
1,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,6.000000206753612,0.0,0.010544815829092464,0.0
1,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,5.364706066437066,0.0,0.009495054984844363,0.0
1,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,18.258824044838548,0.06689734011888504,0.025046397866719545,9.176589865416329e-05
1,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,9.494117960333824,0.0,0.013900611947780124,0.0
1,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,5.305882530286908,0.0,0.009457901123506075,0.0
1,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,4.835294298827648,0.0,0.008573216841892993,0.0
1,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,7.745098298415542,0.0,0.012332959073910098,0.0
1,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,18.760784778743982,0.02191464602947235,0.03040645831238895,3.55180648775889e-05
1,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,19.80392213817686,0.0,0.020044455605442164,0.0
1,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,51.10980529244989,5.404843969270587,0.08633413056157076,0.009129804002146262
1,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,15.776471056975424,0.0,0.017374968124422272,0.0
1,14,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,7.4235296584665775,0.0,0.012229867641625333,0.0
2,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,18.588235805742443,0.9215685902163386,0.03337205710187153,0.0016545217059539294
2,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,213.2000012975186,191.68396702501923,0.4324543636866503,0.38881129213999843
2,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,19.69803975149989,1.083044946193695,0.029096070533973253,0.0015997709692669056
2,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,9.10196104645729,0.0,0.018766929992695445,0.0
2,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,9.360784600488842,0.0,0.01605623430615582,0.0
2,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,76.70196280069649,13.453286613337696,0.11263136975138986,0.01975519326481306
2,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,9.92941206600517,0.0,0.01688675521429451,0.0
2,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,60.050981991924345,15.477508266456425,0.10058790953421164,0.025925474483176593
2,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,20.57647112198174,7.564013895578682,0.03584751066547341,0.013177724556757286
2,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,19.717647591605783,1.269896131940186,0.02584226420918189,0.0016643461755441495
2,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,37.62745195440948,9.9642442651093,0.052260349936679835,0.01383922814598514
2,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,10.980392477475107,0.008073817007243633,0.025417575179340526,1.8689391220471373e-05
3,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,38.81960838101804,23.012687185779214,0.06491573307862548,0.03848275449126959
3,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,10.266666951589286,0.0,0.020867209251197737,0.0
3,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,28.388235989026725,3.1072663478553295,0.05237681916794599,0.0057329637414304975
3,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,9.37254930101335,0.0,0.01670686149913253,0.0
3,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,19.713726022280753,0.570934234187007,0.028821236874679464,0.0008346991727880219
3,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,41.4196090279147,2.952710399404168,0.03838703339009704,0.002736524929938988
3,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,17.25490241777152,0.09111879020929337,0.02450980457069818,0.00012943009972910988
3,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,34.701961745508015,9.55478657502681,0.057836602909180024,0.01592464429171135
3,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,19.28235345520079,1.3091118233278394,0.028736741363935607,0.0019509863238864969
3,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,15.19215730857104,1.3737024515867233,0.023300854767746994,0.002106905600593134
3,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,17.898039686493576,0.3575547784566879,0.031400069625427324,0.0006272890850117332
3,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,11.337255258113146,0.0,0.017256096283277237,0.0
3,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,15.117647480219603,0.33217991422861814,0.02407268707041338,0.0005289489080073538
3,14,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,8.827451258897781,0.03921568300575018,0.018238535658879715,8.10241384416326e-05
3,15,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,13.992157252505422,0.5663206269964576,0.029644400958697928,0.0011998318368569016
3,16,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,10.643137563019991,0.031141865998506546,0.022081198263526954,6.460968049482686e-05
3,17,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,8.670588487759233,0.0,0.014547967261340994,0.0
3,18,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,15.294118059799075,0.2664359575137496,0.030649535189978105,0.0005339397946167326
4,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,9.615686553530395,0.1141868382692337,0.016988845500937093,0.00020174353051101361
4,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,13.525490548461676,0.05305651109665632,0.025047204719373474,9.825279832714134e-05
4,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,11.584314081817865,0.0,0.02025229734583543,0.0
4,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,10.666666955687106,0.13610148429870605,0.023088023713608453,0.0002945919573565066
4,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,10.176470877602696,0.008073817007243633,0.017160996420915172,1.3615205745773413e-05
4,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,12.039216036908329,0.0,0.020268040466175637,0.0
4,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,6.945098270662129,0.0,0.01356464505988697,0.0
4,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,19.298039725981653,0.06805074214935303,0.03163613069833058,0.00011155859368746398
4,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,16.46666715387255,0.0,0.017369902061046993,0.0
4,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,7.682353197596967,0.0,0.015488615317735821,0.0
4,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,13.788235689513385,0.008073817007243633,0.022239089821795784,1.3022285495554247e-05
4,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,7.521568852476776,0.1141868382692337,0.014983204885411903,0.0002274638212534536
4,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,21.129412398673594,2.6482122894376516,0.02980171001223356,0.0037351372206454888
4,14,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,9.988235587254167,0.0,0.014538916429773169,0.0
4,15,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,8.768627690151334,0.0,0.0202042112676298,0.0
4,16,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,7.529411973431706,0.0,0.018231021727437544,0.0
4,17,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,31.88627538923174,0.6113032912835479,0.049436085874777894,0.0009477570407496866
4,18,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,10.662745416164398,0.0,0.019457564628037223,0.0
4,19,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,9.274510090239346,0.32064588367938995,0.019241722178919805,0.0006652404225713485
5,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,17.662745584733784,0.0,0.025053539836501822,0.0
5,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,12.737255261279643,0.3448673579841852,0.03192294551699158,0.0008643292180054768
5,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,33.91372642107308,3.437139444053173,0.040373483834610806,0.004091832671491873
5,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,38.50980490539223,5.254901925101876,0.03432246426505546,0.004683513302229836
5,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,14.752941591665149,0.02191464602947235,0.02543610619252612,3.7783872464607505e-05
5,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,101.1490215305239,60.59861531108618,0.1587896727323766,0.09513126422462509
5,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,18.015686738304794,1.4636677615344524,0.04595838453649182,0.003733846330445032
5,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,70.1137272734195,30.873125488869846,0.11512927302696141,0.05069478733804572
5,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,30.803922439925373,1.4982698177918792,0.03738340101932691,0.0018182886138250962
5,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,84.9607863035053,27.73587022535503,0.09754395672044237,0.03184370863990244
5,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,28.23137328121811,1.9999999105930328,0.04297012675984492,0.0030441398943577363
5,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,13.600000374950469,0.02191464602947235,0.030022075882892865,4.837670205181534e-05
5,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,51.55294259265065,8.519030992873013,0.049954401737064585,0.008254874993094005
5,14,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,9.207843379117548,0.0,0.02502131353021073,0.0
5,15,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,11.258823820389807,0.08535178005695343,0.02931985369893179,0.0002222702605649829
5,16,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,16.486274919472635,2.8316031023859978,0.04304510422838808,0.00739321958847519
5,17,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,53.52549155522138,17.489042191766202,0.10705098311044275,0.03497808438353241
5,18,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,17.862745664082468,2.9331026980653405,0.04253034681924397,0.006983577852536525
5,19,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,32.9411773821339,0.8811995051801205,0.0333075605481637,0.0008910005107989085
5,20,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,81.40784493368119,40.110725986771286,0.07790224395567578,0.038383469843800276
5,21,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,30.243138023652136,8.047289383597672,0.06920626550034814,0.018414849848049593
5,22,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,56.196079947054386,3.4486734280362725,0.04178147207959434,0.0025640694632239943
5,23,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,13.90196115989238,0.03806228004395962,0.03138140216679996,8.591936804505557e-05
5,24,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,28.05490271281451,0.8569780392572284,0.03359868588361019,0.0010263210050984772
5,25,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,25.75686347670853,0.20645903423428535,0.03144916175422287,0.0002520867328867953
5,26,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,16.082353374920785,0.0841983761638403,0.03028691784354197,0.00015856568015789132
5,27,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,21.501961338333786,1.678200637921691,0.04517218768557518,0.00352563159227246
5,28,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,24.99607912451029,1.7012686738744378,0.04159081385109865,0.0028307299066130413
5,29,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,63.52549102995545,42.34832704812288,0.14912087096233673,0.09940921842282367
5,30,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,22.486275129020214,0.29642443638294935,0.023134027910514623,0.00030496341191661453
5,31,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,35.329412668943405,2.0126873096451163,0.04117647164212518,0.0023457894051807883
5,32,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,54.03921671025455,29.31372533738613,0.08917362493441344,0.048372484055092625
5,33,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,14.811765120364726,0.23644751962274313,0.030289908221604756,0.0004835327599647099
5,34,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,14.564706309698522,0.08419837709516287,0.03118780794367992,0.00018029631069628024
5,35,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,22.482353514060378,1.2168396255001426,0.037099593257525376,0.0020079861806933047
5,36,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,46.129412937909365,10.651672291569412,0.05206480015565391,0.012022203489355995
5,37,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,16.86666711140424,0.6424451880156994,0.03400537724073435,0.0012952523951929424
5,38,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,32.5921577764675,0.6620530122891068,0.03356555898709321,0.0006818259652822934
5,39,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,12.121568957343698,0.0,0.027057073565499325,0.0
5,40,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,40.46666767727584,8.648212116211653,0.038910257381995994,0.008315588573280436
5,41,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,23.494118283502758,0.6943482821807265,0.043669364839224456,0.001290610189927001
5,42,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,38.19607945345342,1.0934255355969071,0.0327863342948098,0.0009385626914994911
5,43,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,78.20000182371587,39.20991882123053,0.1688984920598615,0.0846866497218802
5,44,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,31.619608742184937,0.29757782723754644,0.02485818297341583,0.00023394483273392016
5,45,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,26.65882428456098,0.46597457863390446,0.034802642669139655,0.0006083219042218073
5,46,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,76.87843334116042,11.274509575217962,0.052983069153108485,0.007770165110418995
5,47,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,18.53333384450525,0.3102652570232749,0.034577115381539646,0.0005788530914613338
5,48,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,14.592157256789505,0.0,0.030274185180061215,0.0
5,49,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,15.713725931942463,0.29527103435248137,0.026321148964727745,0.0004945913473240894
6,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,13.980392555706203,0.051903109066188335,0.03584716039924667,0.00013308489504150855
6,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,61.86666780151427,29.71856934018433,0.1249831672757864,0.060037513818554204
6,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,26.627451727166772,2.1522490177303553,0.047977390499399586,0.0038779261580727123
6,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,28.184314566664398,5.407151044346392,0.049446165906428766,0.009486229902362092
6,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,15.305882776156068,0.12918107025325298,0.03298681632792256,0.0002784074789940797
6,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,20.556863308884203,0.3414071165025234,0.02895332860406226,0.00048085509366552594
6,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,32.823530175723135,7.636678139679134,0.05268624426279797,0.012257910336563618
6,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,15.3529415698722,0.0530565120279789,0.026747284964934146,9.243294778393536e-05
6,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,17.341176886111498,0.17762397974729538,0.02885387169070133,0.0002955473872667144
6,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,35.8117655608803,15.9123410647735,0.08692176107009783,0.038622187050421114
6,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,30.756863590329885,0.5005767149850726,0.02986103261197076,0.00048599681066511906
6,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,28.647059535607696,10.66781988646835,0.06902905912194625,0.025705590087875544
6,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,56.4431387828663,1.489042593166232,0.02999104079854745,0.0007912022280373178
6,14,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,34.003922243602574,11.29873121343553,0.04261143138296062,0.014158811044405428
