ImageNumber,ObjectNumber,Metadata_C,Metadata_ChannelName,Metadata_ColorFormat,Metadata_Concentration,Metadata_Concentration,Metadata_Experiment_Number,Metadata_FileLocation,Metadata_Frame,Metadata_LPS,Metadata_Plate,Metadata_Series,Metadata_Site,Metadata_SizeC,Metadata_SizeT,Metadata_SizeX,Metadata_SizeY,Metadata_SizeZ,Metadata_T,Metadata_Well,Metadata_Z,Intensity_IntegratedIntensity_GFP,Intensity_IntegratedIntensity_GFP_aftermath,Intensity_MeanIntensity_GFP,Intensity_MeanIntensity_GFP_aftermath,Intensity_MedianIntensity_GFP,Intensity_MedianIntensity_GFP_aftermath
1,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,10.560784671455622,2.984749674797058,0.008302503672528005,0.002346501316664354,0.0,0.0
1,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,7.815686569549143,0.8148148655891418,0.0056553448404841845,0.0005895910749559637,0.0,0.0
1,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,34.878432287834585,17.23529495857656,0.035994254167011956,0.01778668210379418,0.007843137718737125,0.0
1,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,39.53333442937583,16.10457620024681,0.028898636278783498,0.01177235102357223,0.007843137718737125,0.0
1,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,18.752941788174212,4.3050112295895815,0.010383688697770881,0.0023837271481669886,0.0,0.0
1,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,5.368627665564418,0.2527233138680458,0.0037076157911356475,0.00017453267532323606,0.0,0.0
1,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,8.419608133845031,2.9716776981949806,0.005778728986853145,0.0020395866150960747,0.0,0.0
1,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,3.61960800178349,0.0,0.0033859756798723015,0.0,0.0,0.0
1,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,8.13725520297885,0.6361656468361616,0.006719451034664615,0.0005253225820282094,0.0,0.0
1,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,14.752941574901342,6.370370781049132,0.018013359676314216,0.0077782305018914925,0.0,0.0
1,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,10.478431641124189,3.7167756259441376,0.009339065633800525,0.003312634247722048,0.0,0.0
1,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,21.403922237455845,8.213508144021034,0.022843033337733024,0.008765750420513377,0.007843137718737125,0.0
1,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,12.007843527942896,2.799564439803362,0.016700755949851036,0.0038936918495178887,0.007843137718737125,0.0
1,14,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,6.580392437055707,1.0130719877779484,0.0046868892001821275,0.0007215612448560885,0.0,0.0
1,15,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,4.717647244222462,0.0,0.004804121429961774,0.0,0.0,0.0
1,16,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,130.2901976350695,100.90849813260138,0.09930655307551028,0.07691196504009251,0.007843137718737125,0.0
1,17,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,3.584313850849867,0.4945533946156502,0.00544728548761378,0.0007516009036712009,0.0,0.0
1,18,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,33.552941775880754,23.901961432769895,0.03834621917243515,0.02731652735173702,0.0,0.0
2,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,39.196079607121646,9.302832683548331,0.00935020982994314,0.0022191871859609568,0.0,0.0
2,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,4.615686437115073,0.0,0.005336053684526096,0.0,0.0,0.0
2,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,1.780392238870263,0.0,0.0023612629162735586,0.0,0.0,0.0
2,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,387.2156899543479,347.63834909908473,0.2887514466475376,0.25923814250491034,0.05882352963089943,0.0
2,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,2.094117736443877,0.010893246158957481,0.0029247454419607222,1.5214030948264639e-05,0.0,0.0
2,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,2.69803933147341,0.0,0.003573562028441603,0.0,0.0,0.0
3,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,15.027451385743916,3.2178651466965675,0.016641695886759598,0.0035635272942376164,0.0,0.0
3,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,6.690196296200156,0.19825708866119385,0.007788354244703325,0.00023079987038555745,0.0,0.0
3,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,238.47451361548156,199.56863293237984,0.18572781434227537,0.1554272842152491,0.027450980618596077,0.0
3,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,5.235294313170016,0.44008719176054,0.006159169780200018,0.0005177496373653411,0.0,0.0
3,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,46.40784401539713,31.64052365347743,0.05942105507733308,0.040512834383453815,0.007843137718737125,0.0
4,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,432.239220042713,385.48366678506136,0.3876584933118502,0.345725261690638,0.2078431397676468,0.11982571333646774
5,1,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,138.729414078407,95.88889132253826,0.10737570749102708,0.07421740814437945,0.019607843831181526,0.0
5,2,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,4.121568796224892,0.0,0.0036701414035840534,0.0,0.0,0.0
5,3,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,3.670588386245072,0.0871459748595953,0.004268126030517526,0.00010133252890650616,0.0,0.0
5,4,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,5.137255085632205,0.0,0.006196930139483962,0.0,0.0,0.0
5,5,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,2.5137256057932973,0.0,0.0026432445907395344,0.0,0.0,0.0
5,6,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,8.050980642437935,1.886710338294506,0.009307492072182583,0.002181168021149718,0.0,0.0
5,7,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,11.764706291258335,1.2374727949500084,0.005536332372356864,0.0005823401388000039,0.0,0.0
5,8,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,35.77647160831839,14.250545356422663,0.017520309308676978,0.006978719567298072,0.0,0.0
5,9,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,39.49411865323782,17.33986994996667,0.037757283607301934,0.0165773135276928,0.007843137718737125,0.0
5,10,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,16.117647389881313,9.614379394799471,0.014365104625562668,0.008568965592512898,0.0,0.0
5,11,nan,nan,nan,100ugmL,100ugmL,1,nan,0,FV3SiR_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,2.392156971618533,0.0,0.0025973474176096993,0.0,0.0,0.0
